S.No.,Title,Company Name,Package,Job sector,Package Interval,CTC Currency,Years,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Education criteria
221,"•	Food & Beverage Associate, •	GRA – Female candidate",The Leela-Delhi,240000,HOTEL_RESTAURANT_HOSPITALITY,ANNUM,INR,2024,HR interview,-,-,-,-,-,"B.Sc
	All students of B.Sc are eligible
"
222,Finance Research Analyst,Focus Energy,300000,"BANKING_AND_FINANCIAL_SERVICES,DATA_ANALYTICS",ANNUM,INR,2024,HR interview (0),-,-,-,-,-,"MBA (Semester)
	All students of MBA (Semester) are eligible
"
223,"Associate Software Engineer, Cloud Support Engineer, Trainee Solution Architect – Cloud",Cyfuture India Private Limited,400000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Technical interview (0),HR interview (0),-,-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
224,ISO Auditor,AKS IT Services Pvt Ltd,450000,OTHER,ANNUM,INR,2024,HR interview (0),-,-,-,-,-,"B.Tech
	All students of B.Tech are eligible
"
225,Compliance Engineer,Agilent (On the payroll of Mynd Integrated Solutions Pvt Ltd),600000,ENGINEERING_ELECTRICAL_AUTOMOBILE_MECHANICAL_OTHERS,ANNUM,INR,2024,Technical interview (0),HR interview (0),-,-,-,-,"B.Tech
	All students of B.Tech are eligible
"
226,Graduate Trainee Engineer- (R&D),Amber Enterprises India Ltd,300000,RESEARCH,ANNUM,INR,2024,Technical interview (1),HR interview (1),-,-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
227,GRADUATE ENGINEER TRAINEE & PGRADUATE ENGINEER TRAINEE,Interarch Building Products,600000,ENGINEERING_CIVIL_MECHANICAL_OTHER,ANNUM,INR,2024,Written test (0),Behavioral Assessment (0),Technical interview (0),HR interview (0),-,-,"M.Tech.
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in PG
		60.0% marks in UG
B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
228,Sales Management Trainee,Aditya Birla Chemicals Ltd..,800000,"OTHER,SALES",ANNUM,INR,2024,Technical interview (0),HR interview (0),-,-,-,-,"MBA (Semester)
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in DUAL
		60.0% marks in PG
		60.0% marks in UG
MBA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in DUAL
		60.0% marks in PG
		60.0% marks in UG
"
229,"Sales & BD Associate, IT Talent Acquisition",Radiant Techsolutions Pvt. Ltd,500000,"ENGINEERING,OTHER",ANNUM,INR,2024,Technical interview (0),Technical interview (0),Online test (0),Group discussion (0),-,-,"MBA (Semester)
	All students of MBA (Semester) are eligible
B.Tech
	All students of B.Tech are eligible
MBA
	All students of MBA are eligible
MCA
	All students of MCA are eligible
"
230,Management,TCS,579000,OTHER,ANNUM,INR,2024,Online test (0),Technical interview (0),HR interview (0),-,-,-,"MBA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in PG
		60.0% marks in UG
MBA (Semester)
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in PG
		60.0% marks in UG
"
231,Sales - Relationship Manager,Prayosha Food Services Pvt Ltd (Petpooja),420000,SALES,ANNUM,INR,2024,Group discussion (0),Technical interview (0),-,-,-,-,"MBA (Semester)
	All students of MBA (Semester) are eligible
MBA
	All students of MBA are eligible
"
232,Executive - Client Servicing (FSF),Indiamart,400000,"GENERAL_MANAGEMENT,OTHER",ANNUM,INR,2024,Group discussion (0),Technical interview (0),-,-,-,-,"MBA (Semester)
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		55.0% marks in DUAL
		55.0% marks in PG
		55.0% marks in UG
MBA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		55.0% marks in DUAL
		55.0% marks in PG
		55.0% marks in UG
"
233,Clinical Nutritionist,Zyla Health,240000,OTHER,ANNUM,INR,2024,Group discussion,HR interview,-,-,-,-,"B.Sc
	All students of B.Sc are eligible
M.Sc.
	All students of M.Sc. are eligible
"
234,"React Developer Intern, Java Developer Intern, Project Management Intern",Diatoz,300000,ENGINEERING,ANNUM,INR,2024,Technical interview (0),Technical interview (0),Technical interview (0),-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
235,GRADUATE ENGINEER TRAINEE (Process & Design engineering),Sterling Tools Ltd,300000,OTHER,ANNUM,INR,2024,Online test,Technical interview,HR interview,-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		55.0% marks in UG
"
236,B2B Enterprise- Sales Manager & Operations,Zyla Health,500000,OTHER,ANNUM,INR,2024,Group discussion (0),HR interview (0),-,-,-,-,"MBA (Semester)
	All students of MBA (Semester) are eligible
MBA
	All students of MBA are eligible
"
237,GRADUATE ENGINEER TRAINEE,Amber Enterprises India Ltd,350000,OTHER,ANNUM,INR,2024,Online test (0),Group discussion (0),Technical interview (0),HR interview (0),-,-,"B.Tech
	All students of B.Tech are eligible
"
238,Associate Software Engineer,AIHIFusion Technologies Pvt Ltd,500000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Written test- Aptitude and Programming (0),Technical interview (0),HR interview (0),-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
MCA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in PG
		60.0% marks in UG
	Applicants must have done Under-graduation in below programs or streams
		BCA (Program)
				Computer Application
		BCA (Year) (Program)
				Computer Application
"
239,GRADUATE ENGINEER TRAINEE,S&B Engineers And Constructors LLP,500000,ENGINEERING_CIVIL_MECHANICAL_OTHER,ANNUM,INR,2024,"Written test-Technical, Aptitude (0)",Technical interview (0),HR interview (0),-,-,-,"B.Tech
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in DIP
		65.0% marks in UG
"
240,Associate Product Consultant,Cvent India,500000,OTHER,ANNUM,INR,2024,Pre-placement Talk (0),Product Video Test (Elimination round) (0),Voice Assessment (Elimination round) (0),HR interview (0),-,-,"B.Tech
	All students of B.Tech are eligible
B.Sc
	All students of B.Sc are eligible
BCA
	All students of BCA are eligible
MCA
	All students of MCA are eligible
"
,Post Graduate Teacher,Noida Educational Academy School,240000,OTHER,ANNUM,INR,2022,-,-,-,-,-,-,NA
,Software Development Engineer (2023 Batch),Trilogy Innovations,3650000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Technical online test (0),CCAT (Cognitive Criteria Aptitude Test) (0),-,-,-,-,"B.Tech
	All students of B.Tech are eligible
M.Tech.
	All students of M.Tech. are eligible
MCA
	All students of MCA are eligible
"
,Recruitment and operations – Intern,Premas Biotech,12000,HUMAN_RESOURCES,MONTH,INR,2022,HR interview,-,-,-,-,-,"MBA (Semester)
	All students of MBA (Semester) are eligible
"
,Intern/Associate,LawRato.com,300000,LEGAL,ANNUM,INR,2022,HR interview (2),-,-,-,-,-,"B.Com LL.B
	All students of B.Com LL.B are eligible
BBALLB
	All students of BBALLB are eligible
BA LLB
	All students of BA LLB are eligible
"
,FTT - Operations,Escorts Kubota Ltd.,15000,ENGINEERING_ELECTRICAL_AUTOMOBILE_MECHANICAL_OTHERS,MONTH,INR,2022,Group discussion (0),Technical + HR Interview (0),-,-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DUAL
		60.0% marks in PG
		70.0% marks in UG
"
,Associate Advocate,Niti Bodh,360000,LEGAL,ANNUM,INR,2022,Written test (0),Technical interview (0),HR interview (0),-,-,-,"BA LLB
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
BBALLB
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
B.Com LL.B
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
,Software Engineers,Lowe's India,1200000,ENGINEERING,ANNUM,INR,2022,Online test (10),Online test (0),Technical interview (0),-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
"
,New Analyst,Goldman Sachs,1200000,ENGINEERING,ANNUM,INR,2022,Online test (0),Online test (0),Technical interview (0),HR interview (0),-,-,"B.Tech
	Applicants must have scored
		75.0% marks in CLASS X
		75.0% marks in CLASS XII
		75.0% marks in DIP
		75.0% marks in UG
"
,Software Engineer – Network/Embedded/Application Development,Cisco,2200000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Online test,Technical interview,HR interview,-,-,-,"B.Tech
	Applicants must have scored
		85.0% marks in CLASS X
		85.0% marks in CLASS XII
		85.0% marks in DIP
		85.0% marks in UG
"
,Technical & Non-Technical,Relevel by Unacademy,1200000,OTHER,ANNUM,INR,2022,Online test (1),Technical interview (1),HR interview (0),-,-,-,"BA
	All students of BA are eligible
B.Tech
	All students of B.Tech are eligible
MBA (Semester)
	All students of MBA (Semester) are eligible
M.Tech.
	All students of M.Tech. are eligible
MA
	All students of MA are eligible
B.Com (Hons.)
	All students of B.Com (Hons.) are eligible
BCA
	All students of BCA are eligible
B.Sc (Hons)
	All students of B.Sc (Hons) are eligible
BBA
	All students of BBA are eligible
B.Sc
	All students of B.Sc are eligible
M.Sc.
	All students of M.Sc. are eligible
MCA
	All students of MCA are eligible
"
,Post Graduate Trainee (2023 batch),TATA Technologies,590000,SALES,ANNUM,INR,2022,Online test (0),Technical interview (0),HR interview (0),-,-,-,"MBA (Semester)
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in PG
		60.0% marks in UG
"
,Software Developer (Registration on both the link shared below is mandatory),IBM India Development Centre-(CIO)Chief Information Office,775000,"ENGINEERING,OTHER",ANNUM,INR,2022,Online test (13),Online test (0),HR interview (0),-,-,-,"M.Tech.
	Applicants must have scored
		55.0% marks in CLASS X
		55.0% marks in CLASS XII
		55.0% marks in DIP
		70.0% marks in PG
		70.0% marks in UG
B.Tech
	Applicants must have scored
		55.0% marks in CLASS X
		55.0% marks in CLASS XII
		55.0% marks in DIP
		70.0% marks in UG
MCA
	Applicants must have scored
		55.0% marks in CLASS X
		55.0% marks in CLASS XII
		55.0% marks in DIP
		70.0% marks in PG
		70.0% marks in UG
"
,Software Engineer,Josh Technology Group,1815000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Applied on Company link (201),online test (51),Technical interview (8),Technical interview-2 (0),-,-,"MCA
	All students of MCA are eligible
B.Tech
	All students of B.Tech are eligible
"
,"Associate Software Engineer, Software Engineer1",MAQ Software,750000,"ENGINEERING,OTHER",ANNUM,INR,2022,Online test (17),Technical interview (4),HR interview (4),-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
M.Tech.
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in DUAL
		60.0% marks in PG
		60.0% marks in UG
B.Sc
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
MCA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in DUAL
		60.0% marks in PG
		60.0% marks in UG
B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
M.Tech.
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in DUAL
		60.0% marks in PG
		60.0% marks in UG
B.Sc
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
MCA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in DUAL
		60.0% marks in PG
		60.0% marks in UG
"
,Member /Senior Member-Technical,ADP,600000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Appeared (228),Online test (56),Technical interview (14),2nd Technical interview (12),HR interview (12),-,"B.Tech
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in DIP
		65.0% marks in UG
"
,Testing Engineer (QA),Infoedge India Ltd,1000000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Online test (0),Technical interview (0),HR interview (0),-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
"
,Software Engineer,HCL Technologies,425000,ENGINEERING,ANNUM,INR,2022,Attendance (180),Online test (43),Technical & HR Interview (21),-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
"
,Front End Developer,Josh Technology Group,1537500,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Online test (1),Technical interview (0),HR interview (0),-,-,-,"B.Tech
	All students of B.Tech are eligible
MCA
	All students of MCA are eligible
"
,"SDE, SDET,   QA (SDE, SDET, and QA profiles.) (We shall not accept registrations post 10:00 AM Tomorrow, 27th July 2022)",Commvault,2300000,ENGINEERING,ANNUM,INR,2022,Pre-placement Talk (156),Online test (0),Technical interview (0),HR interview (0),-,-,"B.Tech
	Applicants must have scored
		75.0% marks in UG
M.Tech.
	Applicants must have scored
		75.0% marks in PG
		75.0% marks in UG
"
,Associate Software Developer,Vinove Software & Services Pvt. Ltd.,420000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Online test (37),Coding Test (22),Technical interview (10),HR interview (1),-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
MCA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in PG
		60.0% marks in UG
"
,Business Analyst Trainee,Applicate IT Solutions Pvt Ltd,600000,"ENGINEERING,OTHER",ANNUM,INR,2022,Online test (19),Technical interview (2),HR interview (2),-,-,-,"MBA (Semester)
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in DIP
		65.0% marks in DUAL
		65.0% marks in PG
		65.0% marks in UG
B.Tech
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in DIP
		65.0% marks in UG
BBA
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in DIP
		65.0% marks in UG
"
,Business Development Trainee,Applicate IT Solutions Pvt Ltd,600000,OTHER,ANNUM,INR,2022,Pre-placement Talk (1),Written test (0),Group discussion (0),HR interview (0),-,-,"MBA (Semester)
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in DIP
		65.0% marks in PG
		65.0% marks in UG
BBA
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in DIP
		65.0% marks in UG
"
,Intern (Software Engineer Trainee),EX Squared Solutions,900000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Appeared (172),Online test (25),Technical interview (19),2nd Technical interview (8),HR interview (6),-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
MCA
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in PG
		70.0% marks in UG
"
,Graduate Engineer Trainee - INFRA,HCL Technologies,425000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Online test (15),Technical interview (9),HR interview (9),-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
"
,1. Trainee for Quality Assurance 2. Executive - USP,Premas Biotech,300000,OTHER,ANNUM,INR,2022,Pre-placement Talk (10),Technical interview (0),HR interview (0),-,-,-,"M.Sc.
	All students of M.Sc. are eligible
B.Tech
	All students of B.Tech are eligible
M.Tech.
	All students of M.Tech. are eligible
"
,Associate Functional Consultant,ADP,450000,OTHER,ANNUM,INR,2022,Attendance (18),Technical interview (4),HR interview (4),-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
,GRADUATE ENGINEER TRAINEE (ASW & GCP),HCL Technologies,600000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Online test (0),Technical interview (0),HR interview (0),-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
M.Tech.
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in PG
		70.0% marks in UG
"
,Senior Engineer (Azure PAAS),HCL Technologies,600000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Online test (0),Technical interview (0),HR interview (0),-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
"
,Client Interaction,LawRato.com,300000,LEGAL,ANNUM,INR,2022,HR interview,-,-,-,-,-,"BA LLB
	All students of BA LLB are eligible
B.Com LL.B
	All students of B.Com LL.B are eligible
BBALLB
	All students of BBALLB are eligible
"
,Trainee (Supply chain Management Department) – Only Male candidate,Premas Biotech,320000,LOGISTICS_SUPPLY_CHAIN,ANNUM,INR,2022,Technical interview,HR interview,-,-,-,-,"M.Sc.
	All students of M.Sc. are eligible
B.Tech
	All students of B.Tech are eligible
B.Sc (Hons)
	All students of B.Sc (Hons) are eligible
B.Sc
	All students of B.Sc are eligible
"
,Officer – Sales,Asian paints,700000,MARKETING_GENERAL,ANNUM,INR,2022,Attendance sheet (14),Online test (8),HR interview (0),-,-,-,"MBA (Semester)
	Applicants must have scored
		50.0% marks in CLASS X
		50.0% marks in CLASS XII
		50.0% marks in DIP
		50.0% marks in PG
		50.0% marks in UG
"
,"Trainee, Technology",Nagarro Software,450000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Online test (24),Technical interview (6),HR interview (6),-,-,-,"M.Tech.
	Applicants must have scored
		60.0% marks in PG
B.Tech
	Applicants must have scored
		60.0% marks in UG
MCA
	Applicants must have scored
		60.0% marks in PG
"
,Management Trainee,HEXAWARE,900000,"OTHER,PROJECT_MANAGEMENT",ANNUM,INR,2022,Online test (3),Technical interview (3),HR interview (0),-,-,-,"MBA (Semester)
	All students of MBA (Semester) are eligible
"
,Sales roles,Axis Bank,420000,MARKETING_GENERAL,ANNUM,INR,2022,Online test (2),HR interview (0),-,-,-,-,"MBA (Semester)
	Applicants must have scored
		50.0% marks in CLASS X
		50.0% marks in CLASS XII
		50.0% marks in DIP
		50.0% marks in DUAL
		50.0% marks in PG
		50.0% marks in UG
"
,Software Developer Engineer,Ebix Software India Pvt Ltd.,500000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Online test,Technical interview,HR interview,-,-,-,"B.Tech
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in DIP
		65.0% marks in UG
B.Sc
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in DIP
		65.0% marks in UG
MCA
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in DIP
		65.0% marks in PG
		65.0% marks in UG
BCA
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in DIP
		65.0% marks in UG
"
,Software Engineer,IBM India,1100000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Online test (0),Technical interview (0),HR interview (0),-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in UG
M.Tech.
	Applicants must have scored
		70.0% marks in PG
"
,Business Development Manager,HIKE EDUCATION,702000,SALES,ANNUM,INR,2022,Group discussion (0),HR interview (0),-,-,-,-,"MBA (Semester)
	All students of MBA (Semester) are eligible
"
,Business Development Executive,HIKE EDUCATION,582000,BUSINESS_DEVELOPMENT,ANNUM,INR,2022,Attendance (38),Group discussion (9),Interview (5),HR interview (3),-,-,"BBA
	All students of BBA are eligible
BCA
	All students of BCA are eligible
B.Com (Hons.)
	All students of B.Com (Hons.) are eligible
B.Sc
	All students of B.Sc are eligible
B.Sc (Hons)
	All students of B.Sc (Hons) are eligible
BA
	All students of BA are eligible
"
,Trainee,Xebia,433000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Online test (39),Technical interview (5),HR interview (3),-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
,Software Engineer || Capgemini Exceller 2022-23 || S01-A11,Capgemini,400000,"ENGINEERING,INFORMATION_TECHNOLOGY",ANNUM,INR,2022,Resume shortlisting (287),Online test (80),Technical interview (57),-,-,-,"M.Tech.
	All students of M.Tech. are eligible
MCA
	All students of MCA are eligible
B.Tech
	All students of B.Tech are eligible
"
,Data & AI || Capgemini Exceller 2022-23 || S01-A11,Capgemini,400000,ENGINEERING,ANNUM,INR,2022,Resume shortlisting (21),Online test (3),Technical interview (1),-,-,-,"B.Tech
	All students of B.Tech are eligible
M.Tech.
	All students of M.Tech. are eligible
"
,Cyber Security || Capgemini Exceller 2022-23 || S01-A11,Capgemini,400000,ENGINEERING,ANNUM,INR,2022,Resume shortlisting (23),Online test (1),Technical interview (0),-,-,-,"B.Tech
	All students of B.Tech are eligible
M.Tech.
	All students of M.Tech. are eligible
"
,GRADUATE ENGINEER TRAINEE & Super coder,Tech Mahindra,325000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Shortlisting by company (67),Online test (21),Technical interview (7),HR interview (6),-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
MCA
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in PG
		70.0% marks in UG
"
,GRADUATE ENGINEER TRAINEE,PPLwork,800000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Resume shortlisting (14),Online test (3),Technical interview (0),HR interview (0),-,-,"B.Tech
	All students of B.Tech are eligible
MCA
	All students of MCA are eligible
"
,Trainee Sales,Sonalika International Tractors Limited,500000,SALES,ANNUM,INR,2022,Appeared for written test (12),Written test (7),Technical interview (0),HR interview (0),-,-,"MBA (Semester)
	All students of MBA (Semester) are eligible
"
,GRADUATE ENGINEER TRAINEE (Service),Sonalika International Tractors Limited,400000,ENGINEERING_CIVIL_MECHANICAL_OTHER,ANNUM,INR,2022,Appeared for written test (10),Written test (5),Technical interview (1),HR interview (0),-,-,"B.Tech
	Applicants must have scored
		80.0% marks in UG
"
,Associate Consultant,CloudSufi,600000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Appeared (105),Online test (52),Group discussion (15),Technical interview (8),HR interview (6),-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
,Trainee,Prolifics,400000,"ENGINEERING,OTHER",ANNUM,INR,2022,Online test (84),Technical interview (20),HR interview (20),-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
MCA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in DUAL
		60.0% marks in PG
		60.0% marks in UG
B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
MCA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in DUAL
		60.0% marks in PG
		60.0% marks in UG
"
,Technical Business Operations Analyst,Conduent (Erstwhile Xerox),450000,DATA_ANALYTICS,ANNUM,INR,2022,Online test (0),HR interview (0),-,-,-,-,"MCA
	All students of MCA are eligible
"
,Graduate Engineering Trainee (GRADUATE ENGINEER TRAINEE),Hyundai Mobis,550000,ENGINEERING,ANNUM,INR,2022,Online test (0),Technical interview (0),HR interview (0),-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
"
,Software Intern,Axeno Consulting Private Limited,550000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2022,Online test (148),Group discussion (53),Technical interview (23),HR interview (12),-,-,"M.Tech.
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in PG
		60.0% marks in UG
B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
,Trainee Sales,Sonalika International Tractors Limited,600000,MARKETING_GENERAL,ANNUM,INR,2022,Appeared for written test (11),Written test (5),Technical interview (3),HR interview (1),-,-,"B.Tech
	Applicants must have scored
		70.0% marks in UG
"
,Business Development Executive,HIKE EDUCATION,642000,BUSINESS_DEVELOPMENT,ANNUM,INR,2022,Attendance sheet (51),Group discussion (11),Interview (3),HR interview (3),-,-,"B.Tech
	All students of B.Tech are eligible
BBA
	All students of BBA are eligible
MBA (Semester)
	All students of MBA (Semester) are eligible
BA
	All students of BA are eligible
B.Sc
	All students of B.Sc are eligible
B.Com (Hons.)
	All students of B.Com (Hons.) are eligible
BCA
	All students of BCA are eligible
"
,Finance Profile,Nagarro Software,350000,FINANCE,ANNUM,INR,2022,Online test (0),HR interview (0),-,-,-,-,"MBA (Semester)
	Applicants must have scored
		60.0% marks in PG
"
,Business Analyst BFSI,Nagarro Software,350000,"BUSINESS_DEVELOPMENT,OTHER",ANNUM,INR,2022,Online test (0),Technical interview (0),-,-,-,-,"MBA (Semester)
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in DUAL
		60.0% marks in PG
		60.0% marks in UG
"
,Internal Audits/TQM,Nagarro Software,350000,OTHER,ANNUM,INR,2022,Online test (2),HR interview (0),-,-,-,-,"MBA (Semester)
	Applicants must have scored
		60.0% marks in PG
"
,Deputy Manager,Axis Bank,980000,OTHER,ANNUM,INR,2022,-,-,-,-,-,-,NA
